name,genotype1,genotype2,genotype3,genotype4,description,image,dominantTrait,genotype1Type,genotype2Type,dominants,recessives
Bull1,A,a,X,Y,big bull,bull,bull,x,x,2,1
Bull1,A,A,X,Y,big bull,bull,bull,x,x,3,1
Bull1,a,A,X,Y,big bull,bull,bull,x,x,2,2
Bull1,A,A,X,Y,big bull,bull,bull,x,x,4,0
Bull1,A,A,X,Y,big bull,bull,bull,x,x,3,1
Bull1,A,A,X,Y,big bull,bull,bull,x,x,2,2
Bull1,a,a,X,Y,big bull,bull,bull,x,x,2,2
Bull1,a,A,X,Y,big bull,bull,bull,x,x,1,3
Bull1,A,a,X,Y,big bull,bull,bull,x,x,1,3
Bull1,A,a,X,Y,big bull,bull,bull,x,x,1,3
Bull1,a,a,X,Y,big bull,bull,bull,x,x,0,4
Bull1,A,a,X,Y,big bull,bull,bull,x,x,2,2
Bull1,a,A,X,Y,big bull,bull,bull,x,x,3,1
Bull1,A,a,X,Y,big bull,bull,bull,x,x,3,1
Bull1,a,a,X,Y,big bull,bull,bull,x,x,1,3